_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
9576,FY 2022-23,Library and Archives of Canada,Supplementary Estimates C,1,Operating/Program,-5400000
9577,FY 2022-23,National Arts Centre Corporation,Supplementary Estimates C,1,Payments to Crown Corps,1926860
9578,FY 2022-23,National Museum of Science and Technology,Supplementary Estimates C,1,Payments to Crown Corps,-49565
9579,FY 2022-23,National Research Council of Canada,Supplementary Estimates C,5,Capital,25400000
9580,FY 2022-23,National Research Council of Canada,Supplementary Estimates C,10,Grants & Contributions,-3845237
9581,FY 2022-23,National Research Council of Canada,Supplementary Estimates C,1,Operating/Program,37988144
9582,FY 2022-23,Natural Sciences and Engineering Research Council,Supplementary Estimates C,5,Grants & Contributions,20755225
9583,FY 2022-23,Natural Sciences and Engineering Research Council,Supplementary Estimates C,1,Operating/Program,974042
9584,FY 2022-23,Pacific Economic Development Agency of Canada,Supplementary Estimates C,5,Grants & Contributions,19305223
9585,FY 2022-23,Pacific Economic Development Agency of Canada,Supplementary Estimates C,1,Operating/Program,2181334
9586,FY 2022-23,Parks Canada Agency,Supplementary Estimates C,5,Capital,-18000000
9587,FY 2022-23,Parks Canada Agency,Supplementary Estimates C,1,Operating/Program,-6496855
9588,FY 2022-23,Parks Canada Agency,Supplementary Estimates C,10,Other,34078327
9589,FY 2022-23,Parliamentary Protective Service,Supplementary Estimates C,1,Operating/Program,4911703
9590,FY 2022-23,Privy Council Office,Supplementary Estimates C,1,Operating/Program,2773222
9591,FY 2022-23,Public Health Agency of Canada,Supplementary Estimates C,5,Capital,16000000
9592,FY 2022-23,Public Health Agency of Canada,Supplementary Estimates C,10,Grants & Contributions,1195299
9593,FY 2022-23,Public Health Agency of Canada,Supplementary Estimates C,1,Operating/Program,12871796
9594,FY 2022-23,Public Service Commission,Supplementary Estimates C,1,Operating/Program,1422258
9595,FY 2022-23,Royal Canadian Mounted Police,Supplementary Estimates C,5,Capital,12413494
9596,FY 2022-23,Royal Canadian Mounted Police,Supplementary Estimates C,10,Grants & Contributions,1
9597,FY 2022-23,Royal Canadian Mounted Police,Supplementary Estimates C,1,Operating/Program,149632475
9598,FY 2022-23,Shared Services Canada,Supplementary Estimates C,1,Operating/Program,-15108109
9599,FY 2022-23,Social Sciences and Humanities Research Council,Supplementary Estimates C,5,Grants & Contributions,11960022
9600,FY 2022-23,Social Sciences and Humanities Research Council,Supplementary Estimates C,1,Operating/Program,1349709
9601,FY 2022-23,Standards Council of Canada,Supplementary Estimates C,1,Payments to Crown Corps,1740433
9602,FY 2022-23,Statistics Canada,Supplementary Estimates C,1,Operating/Program,23447396
9603,FY 2022-23,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates C,1,Payments to Crown Corps,510001
9604,FY 2022-23,Treasury Board Secretariat,Supplementary Estimates C,1,Operating/Program,3076962
9605,FY 2022-23,Treasury Board Secretariat,Supplementary Estimates C,30,Treasury Board Central,140000000
9606,FY 2022-23,Treasury Board Secretariat,Supplementary Estimates C,20,Treasury Board Central,159851
9607,FY 2022-23,Treasury Board Secretariat,Supplementary Estimates C,10,Treasury Board Central,9265000
9608,FY 2022-23,VIA Rail Canada Inc.,Supplementary Estimates C,1,Payments to Crown Corps,5177062
9609,FY 2022-23,Veterans Review and Appeal Board,Supplementary Estimates C,1,Operating/Program,2524732
9610,FY 2023-24,Administrative Tribunals Support Service of Canada,Main Estimates,1,Operating/Program,67956136
9611,FY 2023-24,Atlantic Canada Opportunities Agency,Main Estimates,5,Grants & Contributions,312855591
9612,FY 2023-24,Atlantic Canada Opportunities Agency,Main Estimates,1,Operating/Program,68404079
9613,FY 2023-24,Atomic Energy of Canada Limited,Main Estimates,1,Payments to Crown Corps,1541555307
9614,FY 2023-24,Canada Border Services Agency,Main Estimates,5,Capital,182507859
9615,FY 2023-24,Canada Border Services Agency,Main Estimates,1,Operating/Program,2307628892
9616,FY 2023-24,Canada Council for the Arts,Main Estimates,1,Payments to Crown Corps,364238813
9617,FY 2023-24,Canada Mortgage and Housing Corporation,Main Estimates,1,Payments to Crown Corps,5059038048
9618,FY 2023-24,Canada Post Corporation,Main Estimates,1,Payments to Crown Corps,22210000
9619,FY 2023-24,Canada Revenue Agency,Main Estimates,1,Operating/Program,4393470330
9620,FY 2023-24,Canada Revenue Agency,Main Estimates,5,Capital,121472814
9621,FY 2023-24,Canada School of Public Service,Main Estimates,1,Operating/Program,63502781
9622,FY 2023-24,Canadian Accessibility Standards Development Organization,Main Estimates,5,Grants & Contributions,8500000
9623,FY 2023-24,Canadian Accessibility Standards Development Organization,Main Estimates,1,Operating/Program,11892041
9624,FY 2023-24,Canadian Air Transport Security Authority,Main Estimates,1,Payments to Crown Corps,561429271
9625,FY 2023-24,Canadian Broadcasting Corporation,Main Estimates,10,Payments to Crown Corps,110046000
9626,FY 2023-24,Canadian Broadcasting Corporation,Main Estimates,5,Payments to Crown Corps,4000000
9627,FY 2023-24,Canadian Broadcasting Corporation,Main Estimates,1,Payments to Crown Corps,1173123435
9628,FY 2023-24,Canadian Centre for Occupational Health and Safety,Main Estimates,1,Operating/Program,5234213
9629,FY 2023-24,Canadian Commercial Corporation,Main Estimates,1,Payments to Crown Corps,13000000
9630,FY 2023-24,Canadian Dairy Commission,Main Estimates,1,Operating/Program,4222621
9631,FY 2023-24,Canadian Energy Regulator,Main Estimates,1,Operating/Program,102009593
9632,FY 2023-24,Canadian Food Inspection Agency,Main Estimates,5,Capital,47529437
9633,FY 2023-24,Canadian Food Inspection Agency,Main Estimates,1,Operating/Program,643834807
9634,FY 2023-24,Canadian Grain Commission,Main Estimates,1,Operating/Program,5467952
9635,FY 2023-24,Canadian High Arctic Research Station,Main Estimates,1,Operating/Program,29961393
9636,FY 2023-24,Canadian Human Rights Commission,Main Estimates,1,Operating/Program,33522865
9637,FY 2023-24,Canadian Institutes of Health Research,Main Estimates,5,Grants & Contributions,1270253442
9638,FY 2023-24,Canadian Institutes of Health Research,Main Estimates,1,Operating/Program,72521635
9639,FY 2023-24,Canadian Intergovernmental Conference Secretariat,Main Estimates,1,Operating/Program,5638744
9640,FY 2023-24,Canadian Museum for Human Rights,Main Estimates,1,Payments to Crown Corps,25458013
9641,FY 2023-24,Canadian Museum of History,Main Estimates,1,Payments to Crown Corps,73251251
9642,FY 2023-24,Canadian Museum of Immigration at Pier 21,Main Estimates,1,Payments to Crown Corps,8111694
9643,FY 2023-24,Canadian Museum of Nature,Main Estimates,1,Payments to Crown Corps,27718568
9644,FY 2023-24,Canadian Northern Economic Development Agency,Main Estimates,5,Grants & Contributions,58060500
9645,FY 2023-24,Canadian Northern Economic Development Agency,Main Estimates,1,Operating/Program,21196977
9646,FY 2023-24,Canadian Nuclear Safety Commission,Main Estimates,1,Operating/Program,51986215
9647,FY 2023-24,Canadian Race Relations Foundation,Main Estimates,1,Payments to Crown Corps,9000000
9648,FY 2023-24,Canadian Radio-television and Telecommunications Commission,Main Estimates,1,Operating/Program,9896828
9649,FY 2023-24,Canadian Security Intelligence Service,Main Estimates,1,Operating/Program,604300921
9650,FY 2023-24,Canadian Space Agency,Main Estimates,5,Capital,225847556
9651,FY 2023-24,Canadian Space Agency,Main Estimates,10,Grants & Contributions,77912538
9652,FY 2023-24,Canadian Space Agency,Main Estimates,1,Operating/Program,221481683
9653,FY 2023-24,Canadian Tourism Commission,Main Estimates,1,Payments to Crown Corps,111152829
9654,FY 2023-24,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,1,Operating/Program,31469976
9655,FY 2023-24,Canadian Transportation Agency,Main Estimates,1,Operating/Program,27756954
9656,FY 2023-24,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,14133193
9657,FY 2023-24,Communications Security Establishment,Main Estimates,1,Operating/Program,906759081
9658,FY 2023-24,Copyright Board,Main Estimates,1,Operating/Program,3918577
9659,FY 2023-24,Correctional Service of Canada,Main Estimates,5,Capital,197572246
9660,FY 2023-24,Correctional Service of Canada,Main Estimates,1,Operating/Program,2594051090
9661,FY 2023-24,Courts Administration Service,Main Estimates,1,Operating/Program,92592873
9662,FY 2023-24,Department for Women and Gender Equality,Main Estimates,5,Grants & Contributions,225416914
9663,FY 2023-24,Department for Women and Gender Equality,Main Estimates,1,Operating/Program,59176748
9664,FY 2023-24,Department of Agriculture and Agri-Food,Main Estimates,5,Capital,31963435
9665,FY 2023-24,Department of Agriculture and Agri-Food,Main Estimates,10,Grants & Contributions,513062360
9666,FY 2023-24,Department of Agriculture and Agri-Food,Main Estimates,1,Operating/Program,463606864
9667,FY 2023-24,Department of Canadian Heritage,Main Estimates,5,Grants & Contributions,1707891504
9668,FY 2023-24,Department of Canadian Heritage,Main Estimates,1,Operating/Program,202886911
9669,FY 2023-24,Department of Citizenship and Immigration,Main Estimates,1,Operating/Program,1854455344
9670,FY 2023-24,Department of Citizenship and Immigration,Main Estimates,10,Grants & Contributions,2394529894
9671,FY 2023-24,Department of Citizenship and Immigration,Main Estimates,5,Capital,104704726
9672,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,10,Grants & Contributions,4851166848
9673,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,1,Operating/Program,4246075402
9674,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,5,Capital,140000
9675,FY 2023-24,Department of Employment and Social Development,Main Estimates,5,Grants & Contributions,9892285081
9676,FY 2023-24,Department of Employment and Social Development,Main Estimates,1,Operating/Program,1273326965
9677,FY 2023-24,Department of Finance,Main Estimates,5,Other,1
9678,FY 2023-24,Department of Finance,Main Estimates,1,Operating/Program,128498703
9679,FY 2023-24,Department of Fisheries and Oceans,Main Estimates,5,Capital,1381611297
9680,FY 2023-24,Department of Fisheries and Oceans,Main Estimates,10,Grants & Contributions,532401762
9681,FY 2023-24,Department of Fisheries and Oceans,Main Estimates,1,Operating/Program,2010994201
9682,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Main Estimates,20,Other,1
9683,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Main Estimates,10,Grants & Contributions,4946749600
9684,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Main Estimates,1,Operating/Program,1960768061
9685,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Main Estimates,15,Operating/Program,102536000
9686,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Main Estimates,5,Capital,197425761
9687,FY 2023-24,Department of Health,Main Estimates,5,Capital,27991054
9688,FY 2023-24,Department of Health,Main Estimates,10,Grants & Contributions,2858624470
9689,FY 2023-24,Department of Health,Main Estimates,1,Operating/Program,1032415062
9690,FY 2023-24,"Department of Housing, Infrastructure and Communities",Main Estimates,5,Capital,93866503
9691,FY 2023-24,"Department of Housing, Infrastructure and Communities",Main Estimates,10,Grants & Contributions,6916338456
9692,FY 2023-24,"Department of Housing, Infrastructure and Communities",Main Estimates,1,Operating/Program,247556443
9693,FY 2023-24,Department of Indigenous Services,Main Estimates,10,Grants & Contributions,15990911482
9694,FY 2023-24,Department of Indigenous Services,Main Estimates,1,Operating/Program,23462199484
9695,FY 2023-24,Department of Indigenous Services,Main Estimates,5,Capital,6102934
9696,FY 2023-24,Department of Industry,Main Estimates,1,Operating/Program,613545412
9697,FY 2023-24,Department of Industry,Main Estimates,5,Capital,29222750
9698,FY 2023-24,Department of Industry,Main Estimates,10,Grants & Contributions,5025685237
9699,FY 2023-24,Department of Justice,Main Estimates,5,Grants & Contributions,606730391
9700,FY 2023-24,Department of Justice,Main Estimates,1,Operating/Program,281780119
9701,FY 2023-24,Department of National Defence,Main Estimates,15,Operating/Program,446727532
9702,FY 2023-24,Department of National Defence,Main Estimates,5,Capital,6076583477
9703,FY 2023-24,Department of National Defence,Main Estimates,10,Grants & Contributions,319808513
9704,FY 2023-24,Department of National Defence,Main Estimates,1,Operating/Program,17912761663
9705,FY 2023-24,Department of Natural Resources,Main Estimates,5,Capital,29227432
9706,FY 2023-24,Department of Natural Resources,Main Estimates,10,Grants & Contributions,2517543940
9707,FY 2023-24,Department of Natural Resources,Main Estimates,1,Operating/Program,767362423
9708,FY 2023-24,Department of Public Safety and Emergency Preparedness,Main Estimates,5,Grants & Contributions,2421776944
9709,FY 2023-24,Department of Public Safety and Emergency Preparedness,Main Estimates,1,Operating/Program,204526475
9710,FY 2023-24,Department of Public Works and Government Services,Main Estimates,5,Capital,1559955319
9711,FY 2023-24,Department of Public Works and Government Services,Main Estimates,1,Operating/Program,2633766246
9712,FY 2023-24,Department of Transport,Main Estimates,10,Grants & Contributions,2178360403
9713,FY 2023-24,Department of Transport,Main Estimates,5,Capital,165973915
9714,FY 2023-24,Department of Transport,Main Estimates,1,Operating/Program,1019788928
9715,FY 2023-24,Department of Veterans Affairs,Main Estimates,1,Operating/Program,1338917705
9716,FY 2023-24,Department of Veterans Affairs,Main Estimates,5,Grants & Contributions,4598995179
9717,FY 2023-24,Department of Western Economic Diversification,Main Estimates,5,Grants & Contributions,323808800
9718,FY 2023-24,Department of Western Economic Diversification,Main Estimates,1,Operating/Program,42305692
9719,FY 2023-24,Department of the Environment,Main Estimates,5,Capital,100902516
9720,FY 2023-24,Department of the Environment,Main Estimates,10,Grants & Contributions,1234196797
9721,FY 2023-24,Department of the Environment,Main Estimates,1,Operating/Program,998976093
9722,FY 2023-24,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,5,Grants & Contributions,433653184
9723,FY 2023-24,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,1,Operating/Program,45282675
9724,FY 2023-24,Federal Economic Development Agency for Northern Ontario,Main Estimates,5,Capital,52733192
9725,FY 2023-24,Federal Economic Development Agency for Northern Ontario,Main Estimates,1,Operating/Program,16267547
9726,FY 2023-24,Federal Economic Development Agency for Southern Ontario,Main Estimates,5,Grants & Contributions,390892092
9727,FY 2023-24,Federal Economic Development Agency for Southern Ontario,Main Estimates,1,Operating/Program,36459899
9728,FY 2023-24,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,1,Operating/Program,103642303
9729,FY 2023-24,House of Commons,Main Estimates,1,Operating/Program,423319199
9730,FY 2023-24,Immigration and Refugee Board,Main Estimates,1,Operating/Program,300084683
9731,FY 2023-24,Impact Assessment Agency of Canada,Main Estimates,5,Grants & Contributions,21453903
9732,FY 2023-24,Impact Assessment Agency of Canada,Main Estimates,1,Operating/Program,70317336
9733,FY 2023-24,International Development Research Centre,Main Estimates,1,Payments to Crown Corps,152798272
9734,FY 2023-24,International Joint Commission (Canadian Section),Main Estimates,1,Operating/Program,8659481
9735,FY 2023-24,Invest in Canada Hub,Main Estimates,1,Operating/Program,33986146
9736,FY 2023-24,Law Commission of Canada,Main Estimates,1,Operating/Program,4106946
9737,FY 2023-24,Leaders' Debates Commission,Main Estimates,1,Operating/Program,3363347
9738,FY 2023-24,Library and Archives of Canada,Main Estimates,5,Capital,40537795
9739,FY 2023-24,Library and Archives of Canada,Main Estimates,1,Operating/Program,147786024
9740,FY 2023-24,Library of Parliament,Main Estimates,1,Operating/Program,51510148
9741,FY 2023-24,Marine Atlantic Inc.,Main Estimates,1,Payments to Crown Corps,189617507
9742,FY 2023-24,Military Grievances External Review Committee,Main Estimates,1,Operating/Program,6430370
9743,FY 2023-24,Military Police Complaints Commission,Main Estimates,1,Operating/Program,4408587
9744,FY 2023-24,National Arts Centre Corporation,Main Estimates,1,Payments to Crown Corps,46416148
9745,FY 2023-24,National Capital Commission,Main Estimates,5,Payments to Crown Corps,25040049
9746,FY 2023-24,National Capital Commission,Main Estimates,1,Payments to Crown Corps,69725156
9747,FY 2023-24,National Film Board,Main Estimates,1,Operating/Program,66490205
9748,FY 2023-24,National Gallery of Canada,Main Estimates,5,Payments to Crown Corps,8000000
9749,FY 2023-24,National Gallery of Canada,Main Estimates,1,Payments to Crown Corps,37778278
9750,FY 2023-24,National Museum of Science and Technology,Main Estimates,1,Payments to Crown Corps,29933096
9751,FY 2023-24,National Research Council of Canada,Main Estimates,5,Capital,105785000
9752,FY 2023-24,National Research Council of Canada,Main Estimates,10,Grants & Contributions,651151632
9753,FY 2023-24,National Research Council of Canada,Main Estimates,1,Operating/Program,537914382
9754,FY 2023-24,National Security and Intelligence Review Agency Secretariat,Main Estimates,1,Operating/Program,21253996
9755,FY 2023-24,Natural Sciences and Engineering Research Council,Main Estimates,5,Grants & Contributions,1259424499
9756,FY 2023-24,Natural Sciences and Engineering Research Council,Main Estimates,1,Operating/Program,52005336
9757,FY 2023-24,Northern Pipeline Agency,Main Estimates,1,Operating/Program,539949
9758,FY 2023-24,Office of the Auditor General,Main Estimates,1,Operating/Program,109132300
9759,FY 2023-24,Office of the Chief Electoral Officer,Main Estimates,1,Operating/Program,49722365
9760,FY 2023-24,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,5,Operating/Program,2641758
9761,FY 2023-24,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,1,Operating/Program,10442577
9762,FY 2023-24,Office of the Commissioner of Lobbying,Main Estimates,1,Operating/Program,4843470
9763,FY 2023-24,Office of the Commissioner of Official Languages,Main Estimates,1,Operating/Program,20199364
9764,FY 2023-24,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,1,Operating/Program,7421554
9765,FY 2023-24,Office of the Correctional Investigator of Canada,Main Estimates,1,Operating/Program,4957474
9766,FY 2023-24,Office of the Director of Public Prosecutions,Main Estimates,1,Operating/Program,192631768
9767,FY 2023-24,Office of the Governor General's Secretary,Main Estimates,1,Operating/Program,20677200
9768,FY 2023-24,Office of the Intelligence Commissioner,Main Estimates,1,Operating/Program,2384034
9769,FY 2023-24,Office of the Parliamentary Budget Officer,Main Estimates,1,Operating/Program,6850418
9770,FY 2023-24,Office of the Public Sector Integrity Commissioner,Main Estimates,1,Operating/Program,5169293
9771,FY 2023-24,Office of the Senate Ethics Officer,Main Estimates,1,Operating/Program,1325451
9772,FY 2023-24,Office of the Superintendent of Financial Institutions,Main Estimates,1,Operating/Program,1244352
9773,FY 2023-24,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,5,Operating/Program,26250549
9774,FY 2023-24,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,1,Operating/Program,14212216
9775,FY 2023-24,Pacific Economic Development Agency of Canada,Main Estimates,1,Operating/Program,30346092
9776,FY 2023-24,Pacific Economic Development Agency of Canada,Main Estimates,5,Grants & Contributions,143003919
9777,FY 2023-24,Parks Canada Agency,Main Estimates,5,Capital,331076015
9778,FY 2023-24,Parks Canada Agency,Main Estimates,1,Operating/Program,663382945
9779,FY 2023-24,Parks Canada Agency,Main Estimates,10,Other,81304508
9780,FY 2023-24,Parliamentary Protective Service,Main Estimates,1,Operating/Program,91983908
9781,FY 2023-24,Parole Board of Canada,Main Estimates,1,Operating/Program,62909681
9782,FY 2023-24,Patented Medicine Prices Review Board,Main Estimates,1,Operating/Program,15740193
9783,FY 2023-24,Privy Council Office,Main Estimates,1,Operating/Program,188647735
9784,FY 2023-24,Public Health Agency of Canada,Main Estimates,5,Capital,41347000
9785,FY 2023-24,Public Health Agency of Canada,Main Estimates,10,Grants & Contributions,461905392
9786,FY 2023-24,Public Health Agency of Canada,Main Estimates,1,Operating/Program,3654335640
9787,FY 2023-24,Public Service Commission,Main Estimates,1,Operating/Program,82040443
9788,FY 2023-24,Registrar of the Supreme Court of Canada,Main Estimates,1,Operating/Program,32014979
9789,FY 2023-24,Royal Canadian Mounted Police,Main Estimates,5,Capital,284004352
9790,FY 2023-24,Royal Canadian Mounted Police,Main Estimates,10,Grants & Contributions,201445483
9791,FY 2023-24,Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,3109941360
9792,FY 2023-24,Royal Canadian Mounted Police External Review Committee,Main Estimates,1,Operating/Program,5814400
9793,FY 2023-24,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Main Estimates,1,Operating/Program,3409410
9794,FY 2023-24,Senate,Main Estimates,1,Operating/Program,88600627
9795,FY 2023-24,Shared Services Canada,Main Estimates,5,Capital,269680471
9796,FY 2023-24,Shared Services Canada,Main Estimates,1,Operating/Program,2199108970
9797,FY 2023-24,Social Sciences and Humanities Research Council,Main Estimates,5,Grants & Contributions,1107095776
9798,FY 2023-24,Social Sciences and Humanities Research Council,Main Estimates,1,Operating/Program,43157521
9799,FY 2023-24,Standards Council of Canada,Main Estimates,1,Payments to Crown Corps,17805586
9800,FY 2023-24,Statistics Canada,Main Estimates,1,Operating/Program,457199717
9801,FY 2023-24,Telefilm Canada,Main Estimates,1,Payments to Crown Corps,151908479
9802,FY 2023-24,The Federal Bridge Corporation Limited,Main Estimates,1,Payments to Crown Corps,7381000
9803,FY 2023-24,The Jacques-Cartier and Champlain Bridges Inc.,Main Estimates,1,Payments to Crown Corps,144126071
9804,FY 2023-24,The National Battlefields Commission,Main Estimates,1,Operating/Program,11337820
9805,FY 2023-24,Treasury Board Secretariat,Main Estimates,35,Treasury Board Central,750000000
9806,FY 2023-24,Treasury Board Secretariat,Main Estimates,1,Operating/Program,312841340
9807,FY 2023-24,Treasury Board Secretariat,Main Estimates,30,Treasury Board Central,600000000
9808,FY 2023-24,Treasury Board Secretariat,Main Estimates,25,Treasury Board Central,3000000000
9809,FY 2023-24,Treasury Board Secretariat,Main Estimates,20,Treasury Board Central,3412149682
9810,FY 2023-24,Treasury Board Secretariat,Main Estimates,10,Treasury Board Central,71120731
9811,FY 2023-24,Treasury Board Secretariat,Main Estimates,5,Treasury Board Central,750000000
9812,FY 2023-24,VIA HFR - VIA TGF Inc.,Main Estimates,1,Payments to Crown Corps,43670000
9813,FY 2023-24,VIA Rail Canada Inc.,Main Estimates,1,Payments to Crown Corps,1233649830
9814,FY 2023-24,Veterans Review and Appeal Board,Main Estimates,1,Operating/Program,13837908
9815,FY 2023-24,Windsor-Detroit Bridge Authority,Main Estimates,1,Payments to Crown Corps,885179373
9816,FY 2023-24,Atlantic Canada Opportunities Agency,Supplementary Estimates A,5,Grants & Contributions,92150000
9817,FY 2023-24,Atlantic Canada Opportunities Agency,Supplementary Estimates A,1,Operating/Program,2078192
9818,FY 2023-24,Canada Mortgage and Housing Corporation,Supplementary Estimates A,1,Payments to Crown Corps,1003722430
9819,FY 2023-24,Canadian Air Transport Security Authority,Supplementary Estimates A,1,Payments to Crown Corps,468300000
9820,FY 2023-24,Canadian Food Inspection Agency,Supplementary Estimates A,5,Capital,83314
9821,FY 2023-24,Canadian Food Inspection Agency,Supplementary Estimates A,1,Operating/Program,12741849
9822,FY 2023-24,Canadian High Arctic Research Station,Supplementary Estimates A,1,Operating/Program,4877403
9823,FY 2023-24,Canadian Institutes of Health Research,Supplementary Estimates A,5,Grants & Contributions,5794000
9824,FY 2023-24,Canadian Transportation Agency,Supplementary Estimates A,1,Operating/Program,16710766
9825,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates A,5,Capital,7932200
9826,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates A,10,Grants & Contributions,342410750
9827,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates A,1,Operating/Program,177272407
9828,FY 2023-24,Department of Canadian Heritage,Supplementary Estimates A,5,Grants & Contributions,11000000
9829,FY 2023-24,Department of Canadian Heritage,Supplementary Estimates A,1,Operating/Program,7475093
9830,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates A,5,Capital,-86651849
9831,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates A,1,Operating/Program,618380157
9832,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates A,10,Grants & Contributions,59151730
9833,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,10,Grants & Contributions,6748854679
9834,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,1,Operating/Program,1469421059
9835,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,5,Capital,4067835
9836,FY 2023-24,Department of Employment and Social Development,Supplementary Estimates A,5,Grants & Contributions,-70547021
9837,FY 2023-24,Department of Employment and Social Development,Supplementary Estimates A,1,Operating/Program,6799395
9838,FY 2023-24,Department of Finance,Supplementary Estimates A,1,Operating/Program,280166028
9839,FY 2023-24,Department of Health,Supplementary Estimates A,10,Grants & Contributions,2630500000
9840,FY 2023-24,Department of Indigenous Services,Supplementary Estimates A,5,Capital,160000
9841,FY 2023-24,Department of Indigenous Services,Supplementary Estimates A,10,Grants & Contributions,1348788712
9842,FY 2023-24,Department of Indigenous Services,Supplementary Estimates A,1,Operating/Program,3523252938
9843,FY 2023-24,Department of Industry,Supplementary Estimates A,10,Grants & Contributions,1
9844,FY 2023-24,Department of Justice,Supplementary Estimates A,5,Grants & Contributions,12135000
9845,FY 2023-24,Department of Justice,Supplementary Estimates A,1,Operating/Program,5065178
9846,FY 2023-24,Department of Natural Resources,Supplementary Estimates A,5,Capital,2323000
9847,FY 2023-24,Department of Natural Resources,Supplementary Estimates A,10,Grants & Contributions,111534500
9848,FY 2023-24,Department of Natural Resources,Supplementary Estimates A,1,Operating/Program,46918699
9849,FY 2023-24,Department of Public Works and Government Services,Supplementary Estimates A,1,Operating/Program,391170931
9850,FY 2023-24,Natural Sciences and Engineering Research Council,Supplementary Estimates A,5,Grants & Contributions,11412000
9851,FY 2023-24,Natural Sciences and Engineering Research Council,Supplementary Estimates A,1,Operating/Program,1023901
9852,FY 2023-24,Pacific Economic Development Agency of Canada,Supplementary Estimates A,5,Grants & Contributions,18830223
9853,FY 2023-24,Pacific Economic Development Agency of Canada,Supplementary Estimates A,1,Operating/Program,794500
9854,FY 2023-24,Public Health Agency of Canada,Supplementary Estimates A,10,Grants & Contributions,5000000
9855,FY 2023-24,Public Health Agency of Canada,Supplementary Estimates A,1,Operating/Program,542000000
9856,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates A,5,Capital,86250
9857,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates A,10,Grants & Contributions,459295000
9858,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates A,1,Operating/Program,20203377
9859,FY 2023-24,Social Sciences and Humanities Research Council,Supplementary Estimates A,5,Grants & Contributions,3384000
9860,FY 2023-24,Social Sciences and Humanities Research Council,Supplementary Estimates A,1,Operating/Program,1941764
9861,FY 2023-24,Statistics Canada,Supplementary Estimates A,1,Operating/Program,73171244
9862,FY 2023-24,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates A,1,Payments to Crown Corps,87423475
9863,FY 2023-24,Atlantic Canada Opportunities Agency,Supplementary Estimates B,5,Grants & Contributions,33103550
9864,FY 2023-24,Atlantic Canada Opportunities Agency,Supplementary Estimates B,1,Operating/Program,193228
9865,FY 2023-24,Canada Border Services Agency,Supplementary Estimates B,5,Capital,32045434
9866,FY 2023-24,Canada Border Services Agency,Supplementary Estimates B,1,Operating/Program,-1552199
9867,FY 2023-24,Canada Council for the Arts,Supplementary Estimates B,1,Payments to Crown Corps,58000
9868,FY 2023-24,Canada Mortgage and Housing Corporation,Supplementary Estimates B,1,Payments to Crown Corps,408419238
9869,FY 2023-24,Canada Revenue Agency,Supplementary Estimates B,1,Operating/Program,11338854
9870,FY 2023-24,Canada School of Public Service,Supplementary Estimates B,1,Operating/Program,198840
9871,FY 2023-24,Canadian Air Transport Security Authority,Supplementary Estimates B,1,Payments to Crown Corps,44785772
9872,FY 2023-24,Canadian Energy Regulator,Supplementary Estimates B,1,Operating/Program,100219
9873,FY 2023-24,Canadian Food Inspection Agency,Supplementary Estimates B,5,Capital,10080000
9874,FY 2023-24,Canadian Food Inspection Agency,Supplementary Estimates B,1,Operating/Program,26607563
9875,FY 2023-24,Canadian High Arctic Research Station,Supplementary Estimates B,1,Operating/Program,946999
