_id,fy_ef,organization,estimates_document,statutory_item,authorities
6629,FY 2021-22,The National Battlefields Commission,Supplementary Estimates B,Contributions to employee benefit plans,871653
6630,FY 2021-22,Treasury Board Secretariat,Supplementary Estimates B,Contributions to employee benefit plans,2076840
6631,FY 2021-22,Atlantic Canada Opportunities Agency,Supplementary Estimates C,Contributions to employee benefit plans,258917
6632,FY 2021-22,Canada Border Services Agency,Supplementary Estimates C,Contributions to employee benefit plans,22954272
6633,FY 2021-22,Canada Revenue Agency,Supplementary Estimates C,Contributions to employee benefit plans,30836289
6634,FY 2021-22,Canadian Food Inspection Agency,Supplementary Estimates C,Contributions to employee benefit plans,2450253
6635,FY 2021-22,Canadian Institutes of Health Research,Supplementary Estimates C,Contributions to employee benefit plans,95100
6636,FY 2021-22,Canadian Northern Economic Development Agency,Supplementary Estimates C,Contributions to employee benefit plans,51533
6637,FY 2021-22,Canadian Security Intelligence Service,Supplementary Estimates C,Contributions to employee benefit plans,201663
6638,FY 2021-22,Communications Security Establishment,Supplementary Estimates C,Contributions to employee benefit plans,782316
6639,FY 2021-22,Courts Administration Service,Supplementary Estimates C,Contributions to employee benefit plans,863801
6640,FY 2021-22,Department for Women and Gender Equality,Supplementary Estimates C,Contributions to employee benefit plans,343030
6641,FY 2021-22,Department of Agriculture and Agri-Food,Supplementary Estimates C,Contributions to employee benefit plans,130544
6642,FY 2021-22,Department of Canadian Heritage,Supplementary Estimates C,Contributions to employee benefit plans,737997
6643,FY 2021-22,Department of Citizenship and Immigration,Supplementary Estimates C,Contributions to employee benefit plans,3662873
6644,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,Contributions to employee benefit plans,501139
6645,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Payments for the Canada Worker Lockdown Benefit pursuant to the Canada Worker Lockdown Benefit Act,2436480000
6646,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Payments pursuant to the Canada Recovery Benefits Act,47003000
6647,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Payments related to the direct financing arrangement under the Apprentice Loans Act,-234120
6648,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,-13614728
6649,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,-30156561
6650,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Contributions to employee benefit plans,5793600
6651,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,60000000
6652,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,-37000000
6653,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,209112399
6654,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,121524774
6655,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Allowance payments (Old Age Security Act),-78326032
6656,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Guaranteed Income Supplement Payments (Old Age Security Act),-419556442
6657,FY 2021-22,Department of Employment and Social Development,Supplementary Estimates C,Old Age Security payments (Old Age Security Act),-406596394
6658,FY 2021-22,Department of Finance,Supplementary Estimates C,"Payments for school ventilation improvement pursuant to the Economic and Fiscal Update Implementation Act, 2021",100000000
6659,FY 2021-22,Department of Finance,Supplementary Estimates C,Payment to the International Monetary Fund for the Poverty Reduction and Growth Trust (Bretton Woods and Related Agreements Act),50000000
6660,FY 2021-22,Department of Finance,Supplementary Estimates C,Interest on Unmatured Debt,1600000000
6661,FY 2021-22,Department of Finance,Supplementary Estimates C,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-234617000
6662,FY 2021-22,Department of Finance,Supplementary Estimates C,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-51862470
6663,FY 2021-22,Department of Finance,Supplementary Estimates C,Purchase of Domestic Coinage,-2000000
6664,FY 2021-22,Department of Finance,Supplementary Estimates C,Contributions to employee benefit plans,1540281
6665,FY 2021-22,Department of Fisheries and Oceans,Supplementary Estimates C,Contributions to employee benefit plans,4420518
6666,FY 2021-22,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,Contributions to employee benefit plans,4529252
6667,FY 2021-22,Department of Health,Supplementary Estimates C,Contributions to employee benefit plans,2018820
6668,FY 2021-22,Department of Indigenous Services,Supplementary Estimates C,Contributions to employee benefit plans,4543667
6669,FY 2021-22,Department of Industry,Supplementary Estimates C,Contributions to employee benefit plans,22591
6670,FY 2021-22,Department of Justice,Supplementary Estimates C,Contributions to employee benefit plans,1190689
6671,FY 2021-22,Department of National Defence,Supplementary Estimates C,Contributions to employee benefit plans,6468752
6672,FY 2021-22,Department of National Defence,Supplementary Estimates C,Contributions to employee benefit plans (Members of the Military),25558474
6673,FY 2021-22,Department of Natural Resources,Supplementary Estimates C,Contributions to employee benefit plans,2577851
6674,FY 2021-22,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,Contributions to employee benefit plans,1335121
6675,FY 2021-22,Department of Public Works and Government Services,Supplementary Estimates C,Translation Bureau Revolving Fund,21064130
6676,FY 2021-22,Department of Public Works and Government Services,Supplementary Estimates C,Contributions to employee benefit plans,10395642
6677,FY 2021-22,Department of Transport,Supplementary Estimates C,Contributions to employee benefit plans,3098122
6678,FY 2021-22,Department of Veterans Affairs,Supplementary Estimates C,Contributions to employee benefit plans,254520
6679,FY 2021-22,Department of Western Economic Diversification,Supplementary Estimates C,Contributions to employee benefit plans,682508
6680,FY 2021-22,Department of the Environment,Supplementary Estimates C,Contributions to employee benefit plans,4600710
6681,FY 2021-22,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates C,Contributions to employee benefit plans,676024
6682,FY 2021-22,Immigration and Refugee Board,Supplementary Estimates C,Contributions to employee benefit plans,349253
6683,FY 2021-22,Leaders' Debates Commission,Supplementary Estimates C,Contributions to employee benefit plans,79257
6684,FY 2021-22,National Research Council of Canada,Supplementary Estimates C,Contributions to employee benefit plans,756948
6685,FY 2021-22,Natural Sciences and Engineering Research Council,Supplementary Estimates C,Contributions to employee benefit plans,64338
6686,FY 2021-22,Office of the Director of Public Prosecutions,Supplementary Estimates C,Contributions to employee benefit plans,507962
6687,FY 2021-22,Parks Canada Agency,Supplementary Estimates C,Contributions to employee benefit plans,1665603
6688,FY 2021-22,Parole Board of Canada,Supplementary Estimates C,Contributions to employee benefit plans,897570
6689,FY 2021-22,Public Health Agency of Canada,Supplementary Estimates C,"Payments for proof of vaccination pursuant to the Economic and Fiscal Update Implementation Act, 2021",300000000
6690,FY 2021-22,Public Health Agency of Canada,Supplementary Estimates C,Contributions to employee benefit plans,835958
6691,FY 2021-22,Royal Canadian Mounted Police,Supplementary Estimates C,Contributions to employee benefit plans,9527530
6692,FY 2021-22,Royal Canadian Mounted Police,Supplementary Estimates C,Pensions and other employee benefits - Members of the Force,15987603
6693,FY 2021-22,Shared Services Canada,Supplementary Estimates C,Contributions to employee benefit plans,5094240
6694,FY 2021-22,Statistics Canada,Supplementary Estimates C,Contributions to employee benefit plans,5203835
6695,FY 2021-22,Treasury Board Secretariat,Supplementary Estimates C,Contributions to employee benefit plans,862920
6696,FY 2022-23,Administrative Tribunals Support Service of Canada,Main Estimates,Contributions to employee benefit plans,11321369
6697,FY 2022-23,Atlantic Canada Opportunities Agency,Main Estimates,Salary and Motor Car Allowance,2000
6698,FY 2022-23,Atlantic Canada Opportunities Agency,Main Estimates,Contributions to employee benefit plans,9029061
6699,FY 2022-23,Canada Border Services Agency,Main Estimates,Contributions to employee benefit plans,212375680
6700,FY 2022-23,Canada Revenue Agency,Main Estimates,Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act,19000000
6701,FY 2022-23,Canada Revenue Agency,Main Estimates,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,7088000000
6702,FY 2022-23,Canada Revenue Agency,Main Estimates,Children's special allowance payments,365000000
6703,FY 2022-23,Canada Revenue Agency,Main Estimates,Contributions to employee benefit plans,531985398
6704,FY 2022-23,Canada Revenue Agency,Main Estimates,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,384998324
6705,FY 2022-23,Canada Revenue Agency,Main Estimates,Salary and Motor Car Allowance,92500
6706,FY 2022-23,Canada School of Public Service,Main Estimates,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,6723332
6707,FY 2022-23,Canada School of Public Service,Main Estimates,Contributions to employee benefit plans,8997635
6708,FY 2022-23,Canadian Accessibility Standards Development Organization,Main Estimates,Contributions to employee benefit plans,839879
6709,FY 2022-23,Canadian Centre for Occupational Health and Safety,Main Estimates,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,5626107
6710,FY 2022-23,Canadian Centre for Occupational Health and Safety,Main Estimates,Contributions to employee benefit plans,680561
6711,FY 2022-23,Canadian Energy Regulator,Main Estimates,Contributions to employee benefit plans,10106930
6712,FY 2022-23,Canadian Food Inspection Agency,Main Estimates,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,53000000
6713,FY 2022-23,Canadian Food Inspection Agency,Main Estimates,Contributions to employee benefit plans,84277606
6714,FY 2022-23,Canadian Food Inspection Agency,Main Estimates,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",12500000
6715,FY 2022-23,Canadian Grain Commission,Main Estimates,Contributions to employee benefit plans,695408
6716,FY 2022-23,Canadian Grain Commission,Main Estimates,Canadian Grain Commission Revolving Fund,7215143
6717,FY 2022-23,Canadian High Arctic Research Station,Main Estimates,Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act,732099
6718,FY 2022-23,Canadian High Arctic Research Station,Main Estimates,Contributions to employee benefit plans,1747292
6719,FY 2022-23,Canadian Human Rights Commission,Main Estimates,Contributions to employee benefit plans,4216794
6720,FY 2022-23,Canadian Institutes of Health Research,Main Estimates,Contributions to employee benefit plans,7733516
6721,FY 2022-23,Canadian Intergovernmental Conference Secretariat,Main Estimates,Contributions to employee benefit plans,442767
6722,FY 2022-23,Canadian Northern Economic Development Agency,Main Estimates,Contributions to employee benefit plans,2104936
6723,FY 2022-23,Canadian Nuclear Safety Commission,Main Estimates,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,98382602
6724,FY 2022-23,Canadian Nuclear Safety Commission,Main Estimates,Contributions to employee benefit plans,4480968
6725,FY 2022-23,Canadian Radio-television and Telecommunications Commission,Main Estimates,Contributions to employee benefit plans,8356191
6726,FY 2022-23,Canadian Security Intelligence Service,Main Estimates,Contributions to employee benefit plans,56433902
6727,FY 2022-23,Canadian Space Agency,Main Estimates,Contributions to employee benefit plans,11276732
6728,FY 2022-23,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,Contributions to employee benefit plans,3837082
6729,FY 2022-23,Canadian Transportation Agency,Main Estimates,Contributions to employee benefit plans,3541587
6730,FY 2022-23,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,1099875
6731,FY 2022-23,Communications Security Establishment,Main Estimates,Contributions to employee benefit plans,52528180
6732,FY 2022-23,Copyright Board,Main Estimates,Contributions to employee benefit plans,404480
6733,FY 2022-23,Correctional Service of Canada,Main Estimates,CORCAN Revolving Fund,-204286
6734,FY 2022-23,Correctional Service of Canada,Main Estimates,Contributions to employee benefit plans,258291612
6735,FY 2022-23,Courts Administration Service,Main Estimates,Contributions to employee benefit plans,8543441
6736,FY 2022-23,Department for Women and Gender Equality,Main Estimates,Salary and Motor Car Allowance,92500
6737,FY 2022-23,Department for Women and Gender Equality,Main Estimates,Contributions to employee benefit plans,6050788
6738,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),468000000
6739,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,118513335
6740,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriInvest Program,139460000
6741,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Canadian Pari-Mutuel Agency Revolving Fund,1209418
6742,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Contributions to employee benefit plans,68881237
6743,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Salary and Motor Car Allowance,92500
6744,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Loan guarantees under the Canadian Agricultural Loans Act,13111013
6745,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",109000000
6746,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the AgriInsurance program,623000000
6747,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriStability Program,483160380
6748,FY 2022-23,Department of Agriculture and Agri-Food,Main Estimates,Grants to agencies established under the Farm Products Agencies Act,100000
6749,FY 2022-23,Department of Canadian Heritage,Main Estimates,Contributions to employee benefit plans,28755564
6750,FY 2022-23,Department of Canadian Heritage,Main Estimates,Salary and Motor Car Allowance,185000
6751,FY 2022-23,Department of Canadian Heritage,Main Estimates,Supplementary retirement benefits - Former Lieutenant Governors,182000
6752,FY 2022-23,Department of Canadian Heritage,Main Estimates,Payments under the Lieutenant Governors Superannuation Act,637000
6753,FY 2022-23,Department of Canadian Heritage,Main Estimates,Salaries of the Lieutenant Governors,1196000
6754,FY 2022-23,Department of Citizenship and Immigration,Main Estimates,Passport Canada Revolving Fund (Revolving Funds Act),109952279
6755,FY 2022-23,Department of Citizenship and Immigration,Main Estimates,Contributions to employee benefit plans,101086126
6756,FY 2022-23,Department of Citizenship and Immigration,Main Estimates,Salary and Motor Car Allowance,92500
6757,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Contributions to employee benefit plans,24904931
6758,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Payments to comprehensive claim beneficiaries in compensation for resource royalties,1865718
6759,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,4125988
6760,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grassy Narrows and Islington Bands Mercury Disability Board,15000
6761,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Salary and Motor Car Allowance,185000
6762,FY 2022-23,Department of Employment and Social Development,Main Estimates,Payments for the Canada Worker Lockdown Benefit pursuant to the Canada Worker Lockdown Benefit Act,17760000
6763,FY 2022-23,Department of Employment and Social Development,Main Estimates,Payments pursuant to the Canada Recovery Benefits Act,416830000
6764,FY 2022-23,Department of Employment and Social Development,Main Estimates,Spending of Revenues pursuant to subsection 5.2(2) of the Department of Employment and Social Development Act,252128822
6765,FY 2022-23,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Apprentice Loans Act,3208041
6766,FY 2022-23,Department of Employment and Social Development,Main Estimates,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
6767,FY 2022-23,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,491473134
6768,FY 2022-23,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,199577385
6769,FY 2022-23,Department of Employment and Social Development,Main Estimates,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,181000000
6770,FY 2022-23,Department of Employment and Social Development,Main Estimates,Contributions to employee benefit plans,289951220
6771,FY 2022-23,Department of Employment and Social Development,Main Estimates,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,1050000000
6772,FY 2022-23,Department of Employment and Social Development,Main Estimates,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),31444511
6773,FY 2022-23,Department of Employment and Social Development,Main Estimates,Civil Service Insurance actuarial liability adjustments,145000
6774,FY 2022-23,Department of Employment and Social Development,Main Estimates,Universal Child Care Benefit (Universal Child Care Benefit Act),40000
6775,FY 2022-23,Department of Employment and Social Development,Main Estimates,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,3414307523
6776,FY 2022-23,Department of Employment and Social Development,Main Estimates,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,4405285
6777,FY 2022-23,Department of Employment and Social Development,Main Estimates,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-1342358
6778,FY 2022-23,Department of Employment and Social Development,Main Estimates,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,31855
6779,FY 2022-23,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,1296269205
6780,FY 2022-23,Department of Employment and Social Development,Main Estimates,Allowance payments (Old Age Security Act),651499130
6781,FY 2022-23,Department of Employment and Social Development,Main Estimates,Guaranteed Income Supplement Payments (Old Age Security Act),15432851588
6782,FY 2022-23,Department of Employment and Social Development,Main Estimates,Old Age Security payments (Old Age Security Act),52225920595
6783,FY 2022-23,Department of Employment and Social Development,Main Estimates,Salary and Motor Car Allowance,279500
6784,FY 2022-23,Department of Finance,Main Estimates,Payment to the Canada Infrastructure Bank,4533117000
6785,FY 2022-23,Department of Finance,Main Estimates,Other Interest Costs,4858000000
6786,FY 2022-23,Department of Finance,Main Estimates,Interest on Unmatured Debt,18743000000
6787,FY 2022-23,Department of Finance,Main Estimates,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act),47772000
6788,FY 2022-23,Department of Finance,Main Estimates,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,53424144
6789,FY 2022-23,Department of Finance,Main Estimates,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-5224272000
6790,FY 2022-23,Department of Finance,Main Estimates,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-1151097000
6791,FY 2022-23,Department of Finance,Main Estimates,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),15938157000
6792,FY 2022-23,Department of Finance,Main Estimates,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),45207608000
6793,FY 2022-23,Department of Finance,Main Estimates,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),21920222000
6794,FY 2022-23,Department of Finance,Main Estimates,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42639341
6795,FY 2022-23,Department of Finance,Main Estimates,Purchase of Domestic Coinage,80000000
6796,FY 2022-23,Department of Finance,Main Estimates,Contributions to employee benefit plans,14951134
6797,FY 2022-23,Department of Finance,Main Estimates,Payments to International Development Association,911436000
6798,FY 2022-23,Department of Finance,Main Estimates,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),4552785221
6799,FY 2022-23,Department of Finance,Main Estimates,Salary and Motor Car Allowance,94500
6800,FY 2022-23,Department of Fisheries and Oceans,Main Estimates,Contributions to employee benefit plans,179795315
6801,FY 2022-23,Department of Fisheries and Oceans,Main Estimates,Salary and Motor Car Allowance,92500
6802,FY 2022-23,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments to International Financial Institutions - Direct payments,257361748
6803,FY 2022-23,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments under the Diplomatic Service (Special) Superannuation Act,900000
6804,FY 2022-23,"Department of Foreign Affairs, Trade and Development",Main Estimates,Contributions to employee benefit plans,122727807
6805,FY 2022-23,"Department of Foreign Affairs, Trade and Development",Main Estimates,Salary and Motor Car Allowance,277500
6806,FY 2022-23,Department of Health,Main Estimates,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",51462891
6807,FY 2022-23,Department of Health,Main Estimates,Contributions to employee benefit plans,112316961
6808,FY 2022-23,Department of Health,Main Estimates,Salary and Motor Car Allowance,92500
6809,FY 2022-23,"Department of Housing, Infrastructure and Communities",Main Estimates,Salary and Motor Car Allowance,185000
6810,FY 2022-23,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),2268966610
6811,FY 2022-23,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions to employee benefit plans,18828909
6812,FY 2022-23,Department of Indigenous Services,Main Estimates,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,2000000
6813,FY 2022-23,Department of Indigenous Services,Main Estimates,Indian Annuities Treaty payments,2100000
6814,FY 2022-23,Department of Indigenous Services,Main Estimates,Contributions in connection with First Nations infrastructure,31033391
6815,FY 2022-23,Department of Indigenous Services,Main Estimates,Salary and Motor Car Allowance,92500
6816,FY 2022-23,Department of Indigenous Services,Main Estimates,Contributions to employee benefit plans,100577869
6817,FY 2022-23,Department of Industry,Main Estimates,CIFAR - Pan Canadian Artificial Intelligence,12437350
6818,FY 2022-23,Department of Industry,Main Estimates,Contributions to employee benefit plans,71592262
6819,FY 2022-23,Department of Industry,Main Estimates,Liabilities under the Canada Small Business Financing Act,134271103
6820,FY 2022-23,Department of Industry,Main Estimates,Canadian Intellectual Property Office Revolving Fund,40648920
6821,FY 2022-23,Department of Industry,Main Estimates,Salary and Motor Car Allowance,94500
6822,FY 2022-23,Department of Justice,Main Estimates,Contributions to employee benefit plans,85291786
6823,FY 2022-23,Department of Justice,Main Estimates,Salary and Motor Car Allowance,92500
6824,FY 2022-23,Department of National Defence,Main Estimates,Contributions to employee benefit plans,335655066
6825,FY 2022-23,Department of National Defence,Main Estimates,Contributions to employee benefit plans (Members of the Military),1321783656
6826,FY 2022-23,Department of National Defence,Main Estimates,Payments under Parts I-IV of the Defence Services Pension Continuation Act,200000
6827,FY 2022-23,Department of National Defence,Main Estimates,Payments under the Supplementary Retirement Benefits Act,800000
6828,FY 2022-23,Department of National Defence,Main Estimates,Salary and Motor Car Allowance,92500
6829,FY 2022-23,Department of Natural Resources,Main Estimates,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,526799780
6830,FY 2022-23,Department of Natural Resources,Main Estimates,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,2692690
6831,FY 2022-23,Department of Natural Resources,Main Estimates,Contribution to the Canada/Newfoundland Offshore Petroleum Board,11187500
6832,FY 2022-23,Department of Natural Resources,Main Estimates,Contributions to employee benefit plans,64165380
6833,FY 2022-23,Department of Natural Resources,Main Estimates,Salary and Motor Car Allowance,92500
6834,FY 2022-23,Department of Public Safety and Emergency Preparedness,Main Estimates,Contributions to employee benefit plans,18503292
6835,FY 2022-23,Department of Public Safety and Emergency Preparedness,Main Estimates,Salary and Motor Car Allowance,92500
6836,FY 2022-23,Department of Public Works and Government Services,Main Estimates,Real Property Services Revolving Fund,-1842496
6837,FY 2022-23,Department of Public Works and Government Services,Main Estimates,Translation Bureau Revolving Fund,7352262
6838,FY 2022-23,Department of Public Works and Government Services,Main Estimates,Optional Services Revolving Fund,322561
6839,FY 2022-23,Department of Public Works and Government Services,Main Estimates,Contributions to employee benefit plans,156455973
6840,FY 2022-23,Department of Public Works and Government Services,Main Estimates,Salary and Motor Car Allowance,92500
6841,FY 2022-23,Department of Transport,Main Estimates,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,71100485
6842,FY 2022-23,Department of Transport,Main Estimates,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,62156000
6843,FY 2022-23,Department of Transport,Main Estimates,Contributions to employee benefit plans,86773869
6844,FY 2022-23,Department of Transport,Main Estimates,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
6845,FY 2022-23,Department of Transport,Main Estimates,Salary and Motor Car Allowance,92500
6846,FY 2022-23,Department of Veterans Affairs,Main Estimates,Contributions to employee benefit plans,38186572
6847,FY 2022-23,Department of Veterans Affairs,Main Estimates,Veterans Insurance Actuarial Liability Adjustment,175000
6848,FY 2022-23,Department of Veterans Affairs,Main Estimates,Returned Soldiers Insurance Actuarial Liability Adjustment,10000
6849,FY 2022-23,Department of Veterans Affairs,Main Estimates,Re-establishment credits under section 8 of the War Service Grants Act,12000
6850,FY 2022-23,Department of Veterans Affairs,Main Estimates,Salary and Motor Car Allowance,92500
6851,FY 2022-23,Department of Western Economic Diversification,Main Estimates,Contributions to employee benefit plans,5403901
6852,FY 2022-23,Department of the Environment,Main Estimates,Contributions to employee benefit plans,108101652
6853,FY 2022-23,Department of the Environment,Main Estimates,Salary and Motor Car Allowance,92500
6854,FY 2022-23,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,Contributions to employee benefit plans,5662207
6855,FY 2022-23,Federal Economic Development Agency for Northern Ontario,Main Estimates,Contributions to employee benefit plans,1623946
6856,FY 2022-23,Federal Economic Development Agency for Southern Ontario,Main Estimates,Salary and Motor Car Allowance,2000
6857,FY 2022-23,Federal Economic Development Agency for Southern Ontario,Main Estimates,Contributions to employee benefit plans,4719576
6858,FY 2022-23,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,Contributions to employee benefit plans,6693826
6859,FY 2022-23,House of Commons,Main Estimates,"Members of the House of Commons – Contributions to the Members of Parliament Retiring Allowances account and the Members of Parliament Retirement Compensation Arrangements account, under the Members of Parliament Retiring Allowances Act",19800000
6860,FY 2022-23,House of Commons,Main Estimates,"Members of the House of Commons – Salaries and allowances of Officers and Members of the House of Commons, under the Parliament of Canada Act",102222243
6861,FY 2022-23,House of Commons,Main Estimates,Contributions to employee benefit plans,45696710
6862,FY 2022-23,Immigration and Refugee Board,Main Estimates,Contributions to employee benefit plans,27594243
6863,FY 2022-23,Impact Assessment Agency of Canada,Main Estimates,Contributions to employee benefit plans,6028714
6864,FY 2022-23,International Joint Commission (Canadian Section),Main Estimates,Contributions to employee benefit plans,597128
6865,FY 2022-23,Leaders' Debates Commission,Main Estimates,Contributions to employee benefit plans,32638
6866,FY 2022-23,Library and Archives of Canada,Main Estimates,Contributions to employee benefit plans,12274023
6867,FY 2022-23,Library of Parliament,Main Estimates,Contributions to employee benefit plans,6056095
6868,FY 2022-23,Military Grievances External Review Committee,Main Estimates,Contributions to employee benefit plans,637362
6869,FY 2022-23,Military Police Complaints Commission,Main Estimates,Contributions to employee benefit plans,445803
